
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.2
Length[m]                     0                   0.200104
T[K]                          1102.000            1102.000
P[atm]                        1.00000             1.00000
V[m3]                         1.00000             1.00133
rho[kg/m3]                    0.31076             0.31076
MW[kg/kmol]                   28.13877            28.10140
Phi[-]                        1.00000             1.00000
H[J/kg]                       8.934472e+05        8.748763e+05
U[J/kg]                       5.678275e+05        5.488237e+05
E[J/kg]                       8.934477e+05        8.748768e+05
Conv.(%) N2                   0.000e+00           0.000e+00
Conv.(%) O2                   0.000e+00           1.473e+01
Conv.(%) C6H6                 0.000e+00           4.368e+01
Total species (kmol/m2/s)     1.105862e-02        1.107332e-02
Element(kmol/m2/s) C          1.035087e-04        1.035087e-04
Element(kmol/m2/s) H          1.035087e-04        1.035087e-04
Element(kmol/m2/s) O          2.587717e-04        2.587717e-04
Element(kmol/m2/s) N          2.182396e-02        2.182396e-02
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            9.823647e-01        9.823647e-01
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        1.638665e-05
H                             0.000000e+00        5.100362e-09
O2                            1.330465e-02        1.134447e-02
O                             0.000000e+00        2.067093e-08
H2O                           0.000000e+00        4.490447e-04
OH                            0.000000e+00        5.004579e-08
H2O2                          0.000000e+00        9.995699e-07
HO2                           0.000000e+00        7.408244e-06
CO                            0.000000e+00        2.109125e-03
CO2                           0.000000e+00        2.309732e-04
HOCO                          0.000000e+00        2.128681e-12
CH4                           0.000000e+00        2.586362e-05
CH3                           0.000000e+00        6.115293e-07
CH2                           0.000000e+00        3.983591e-11
CH2(S)                        0.000000e+00        3.341166e-13
C                             0.000000e+00        2.557956e-20
CH                            0.000000e+00        8.290710e-16
CH3O2H                        0.000000e+00        2.058917e-13
CH3O2                         0.000000e+00        4.103058e-09
CH3OH                         0.000000e+00        8.103156e-07
CH3O                          0.000000e+00        4.317673e-10
CH2OH                         0.000000e+00        4.877941e-11
CH2O                          0.000000e+00        7.247781e-05
HCO                           0.000000e+00        4.506030e-09
HO2CHO                        0.000000e+00        2.466112e-22
HOCHO                         0.000000e+00        8.670932e-07
OCHO                          0.000000e+00        1.208438e-17
C2H6                          0.000000e+00        7.770899e-06
C2H5                          0.000000e+00        1.522365e-09
C2H5O2H                       0.000000e+00        2.646015e-13
C2H5O2                        0.000000e+00        2.243448e-11
C2H4                          0.000000e+00        4.606567e-05
C2H3                          0.000000e+00        4.459000e-09
C2H2                          0.000000e+00        5.537000e-05
C2H                           0.000000e+00        2.895350e-13
C2H5OH                        0.000000e+00        4.592989e-09
C2H5O                         0.000000e+00        2.396923e-15
PC2H4OH                       0.000000e+00        5.699807e-12
SC2H4OH                       0.000000e+00        4.926837e-12
C2H4O2H                       0.000000e+00        1.051261e-16
C2H4O1-2                      0.000000e+00        4.083003e-08
C2H3O1-2                      0.000000e+00        8.091596e-18
CH3CHO                        0.000000e+00        9.768734e-06
CH3CO                         0.000000e+00        1.217473e-11
CH2CHO                        0.000000e+00        7.098253e-09
CH2CO                         0.000000e+00        3.717372e-05
HCCO                          0.000000e+00        3.577959e-09
CH3CO3                        0.000000e+00        2.118996e-12
CH3CO3H                       0.000000e+00        0.000000e+00
CH2OHCHO                      0.000000e+00        1.260355e-11
CHOCHO                        0.000000e+00        2.187761e-07
O2C2H4O2H                     0.000000e+00        7.586912e-18
HO2CH2CHO                     0.000000e+00        1.854006e-18
CH3OCHO                       0.000000e+00        4.669335e-11
CH3OCO                        0.000000e+00        4.291545e-17
C3H8                          0.000000e+00        3.349824e-08
IC3H7                         0.000000e+00        1.213564e-10
NC3H7                         0.000000e+00        4.089217e-12
C3H6                          0.000000e+00        8.569546e-06
C3H5-A                        0.000000e+00        1.999444e-07
C3H5-S                        0.000000e+00        8.444674e-11
C3H5-T                        0.000000e+00        4.452213e-11
C3H5O                         0.000000e+00        6.660635e-13
C3H6O                         0.000000e+00        1.738181e-09
CH3CHCHO                      0.000000e+00        6.545087e-12
AC4H7OOH                      0.000000e+00        9.951060e-16
CH3CHCO                       0.000000e+00        1.172773e-06
AC3H5OOH                      0.000000e+00        2.151691e-12
C3H6OH1-2                     0.000000e+00        1.025691e-12
C3H6OH2-1                     0.000000e+00        2.040746e-12
HOC3H6O2                      0.000000e+00        6.743895e-16
SC3H5OH                       0.000000e+00        1.631679e-08
C3H5OH                        0.000000e+00        1.431191e-07
CH2CCH2OH                     0.000000e+00        7.149468e-14
C3H4-P                        0.000000e+00        6.982373e-06
C3H4-A                        0.000000e+00        5.038154e-06
C3H3                          0.000000e+00        1.541439e-07
C3H2                          0.000000e+00        5.450154e-12
C2H5CHO                       0.000000e+00        1.551442e-07
CH2CH2CHO                     0.000000e+00        2.921988e-14
RALD3                         0.000000e+00        1.924223e-12
C2H3CHO                       0.000000e+00        5.685137e-05
CH3COCH3                      0.000000e+00        2.083837e-07
CH3COCH2                      0.000000e+00        3.492490e-12
NC4H10                        0.000000e+00        2.355745e-10
PC4H9                         0.000000e+00        8.199545e-14
SC4H9                         0.000000e+00        1.889480e-12
IC4H10                        0.000000e+00        1.460975e-09
IC4H9                         0.000000e+00        9.147042e-14
TC4H9                         0.000000e+00        2.215049e-13
IC4H8                         0.000000e+00        2.407647e-08
IC4H7                         0.000000e+00        3.059386e-09
IC4H7O                        0.000000e+00        2.889826e-14
C4H8-1                        0.000000e+00        2.977991e-06
C4H8-2                        0.000000e+00        2.321525e-07
C4H71-3                       0.000000e+00        1.073660e-08
C4H71-4                       0.000000e+00        2.130959e-11
C4H71-O                       0.000000e+00        2.923752e-17
C4H6                          0.000000e+00        1.807933e-05
C4H5                          0.000000e+00        7.058669e-09
C4H4                          0.000000e+00        1.174861e-05
C4H3                          0.000000e+00        3.267298e-10
C4H2                          0.000000e+00        5.606205e-06
C6H6                          4.330603e-03        2.439144e-03
FULVENE                       0.000000e+00        1.160507e-06
C6H5                          0.000000e+00        1.347244e-08
C5H6                          0.000000e+00        4.239320e-05
C5H5                          0.000000e+00        3.767405e-06
C5H5CH3                       0.000000e+00        4.200077e-06
C10H8                         0.000000e+00        4.920800e-06
C5H5OH                        0.000000e+00        2.868804e-06
C5H5O                         0.000000e+00        1.645467e-08
C5H4OH                        0.000000e+00        1.760402e-07
C5H4O                         0.000000e+00        1.104524e-04
DMF                           0.000000e+00        1.725377e-25
NC5H12                        0.000000e+00        9.229028e-13
NC5H11                        0.000000e+00        2.382202e-15
NEOC5H12                      0.000000e+00        3.953918e-13
NEOC5H11                      0.000000e+00        6.072036e-17
NC5H10                        0.000000e+00        1.003113e-08
NC5H9-3                       0.000000e+00        1.631801e-13
B1M2                          0.000000e+00        2.014950e-10
B1M3                          0.000000e+00        1.193925e-08
B2M2                          0.000000e+00        1.390907e-09
CYC5H8                        0.000000e+00        2.260029e-10
LC5H8                         0.000000e+00        5.591042e-09
CYC5H7                        0.000000e+00        8.033887e-09
LC5H7                         0.000000e+00        9.853595e-09
DIALLYL                       0.000000e+00        3.230209e-09
RC6H9A                        0.000000e+00        3.555119e-28
CYC6H8                        0.000000e+00        1.630913e-09
CYC6H10                       0.000000e+00        8.642302e-09
RCYC6H9                       0.000000e+00        2.273152e-27
CYC6H12                       0.000000e+00        3.131397e-14
CYC6H11                       0.000000e+00        1.934889e-15
NC6H12                        0.000000e+00        1.083149e-12
NC7H16                        0.000000e+00        5.487979e-17
NC7H15                        0.000000e+00        1.332108e-20
NC7H14                        0.000000e+00        2.140003e-14
NC7H13                        0.000000e+00        0.000000e+00
IC8H18                        0.000000e+00        0.000000e+00
IC8H17                        0.000000e+00        3.478449e-26
IC8H16                        0.000000e+00        1.598397e-19
DIMEPTD                       0.000000e+00        1.338646e-12
C7H8                          0.000000e+00        5.247648e-06
C6H5OH                        0.000000e+00        4.098627e-04
C6H5CHO                       0.000000e+00        1.144637e-06
C6H5CO                        0.000000e+00        9.647450e-16
C7H7                          0.000000e+00        2.844471e-08
CH3C6H4                       0.000000e+00        1.545106e-11
C6H5O                         0.000000e+00        2.572081e-06
CYC6H4                        0.000000e+00        1.124169e-09
OC6H4OH                       0.000000e+00        1.219416e-07
C6H4O2                        0.000000e+00        3.728096e-06
C7H7O2                        0.000000e+00        1.185627e-12
O2C6H4CH3                     0.000000e+00        6.362066e-14
OC6H4CH2                      0.000000e+00        6.942078e-08
C6H5CH2O                      0.000000e+00        2.288339e-14
BZCOOH                        0.000000e+00        3.572006e-13
C6H5O2                        0.000000e+00        5.931190e-11
RBBENZ                        0.000000e+00        6.399052e-13
STILB                         0.000000e+00        1.744166e-09
HOC6H4CH2                     0.000000e+00        2.079373e-08
OC6H4CH3                      0.000000e+00        9.200759e-08
CRESOL                        0.000000e+00        2.403126e-05
OOC6H4OH                      0.000000e+00        3.040381e-12
C6H4OH                        0.000000e+00        1.025944e-09
CYC5H10                       0.000000e+00        3.675331e-12
RCYC5H9                       0.000000e+00        1.582725e-16
RCYC5H9O2                     0.000000e+00        1.486905e-19
C5H2                          0.000000e+00        1.026558e-13
C5H3                          0.000000e+00        2.079714e-11
CYC5H4                        0.000000e+00        4.226736e-11
C6H2                          0.000000e+00        6.453836e-09
C6H3                          0.000000e+00        3.705626e-11
LC6H4                         0.000000e+00        3.906154e-08
LC6H5                         0.000000e+00        2.287223e-15
LC6H6                         0.000000e+00        2.963900e-08
C7H6                          0.000000e+00        1.327806e-07
C7H5                          0.000000e+00        6.034163e-08
C6H5CH2OH                     0.000000e+00        1.143014e-08
C6H5C2H                       0.000000e+00        2.174911e-06
C6H5C2H3                      0.000000e+00        1.158497e-06
C6H5C2H5                      0.000000e+00        2.050717e-07
C6H5C2H2                      0.000000e+00        1.645730e-11
C6H5CHCH3                     0.000000e+00        7.823775e-10
C6H5C2H4                      0.000000e+00        2.765180e-12
C6H4C2H3                      0.000000e+00        6.093009e-12
C6H4C2H                       0.000000e+00        5.777654e-11
C8H2                          0.000000e+00        9.358853e-12
XYLENE                        0.000000e+00        5.261408e-08
RXYLENE                       0.000000e+00        2.418484e-10
INDENE                        0.000000e+00        7.280141e-07
INDENYL                       0.000000e+00        2.492362e-08
C10H7                         0.000000e+00        1.124223e-10
C10H7OH                       0.000000e+00        8.776235e-07
C10H7O                        0.000000e+00        1.027992e-08
C10H6CH3                      0.000000e+00        5.000926e-13
C10H7CH2                      0.000000e+00        8.088962e-10
C10H7CHO                      0.000000e+00        4.019073e-08
C10H7CH3                      0.000000e+00        2.865787e-07
CH3C10H6OH                    0.000000e+00        7.733837e-09
CH3C10H6O                     0.000000e+00        1.597662e-10
C12H8                         0.000000e+00        1.732386e-07
C12H7                         0.000000e+00        9.534199e-12
BIPHENYL                      0.000000e+00        5.861431e-06
C12H9                         0.000000e+00        1.730335e-12
FLUORENE                      0.000000e+00        4.658661e-09
C6H5CH2C6H5                   0.000000e+00        1.222999e-10
C14H10                        0.000000e+00        9.389145e-09
C14H9                         0.000000e+00        4.053138e-12
C16H10                        0.000000e+00        7.855613e-09
C16H9                         0.000000e+00        3.622350e-12
C6H5C2H4C6H5                  0.000000e+00        1.898271e-11
C18H10                        0.000000e+00        1.109823e-11
C18H9                         0.000000e+00        3.237037e-12
BIN1B                         0.000000e+00        3.014280e-08
BIN1A                         0.000000e+00        1.774934e-10
C18H14                        0.000000e+00        1.343159e-13
FC10H10                       0.000000e+00        1.381745e-06
FC10H10O                      0.000000e+00        2.326755e-08
C9H9                          0.000000e+00        5.929660e-11
C10H7CH2OOH                   0.000000e+00        9.200064e-15
C10H7CH2O                     0.000000e+00        7.655423e-16
C10H7CH2O2                    0.000000e+00        3.040202e-14
C10H6OH                       0.000000e+00        3.438468e-09
C10H7C2H5                     0.000000e+00        2.611592e-09
C10H7C2H4                     0.000000e+00        1.251420e-14
C10H7CHCH3                    0.000000e+00        9.950432e-10
C10H6O2                       0.000000e+00        1.193828e-08
OC10H6CH2                     0.000000e+00        2.429353e-09
HOC10H6CH2                    0.000000e+00        3.518643e-11
O2C10H6CH3                    0.000000e+00        1.926172e-15
C10H7O2                       0.000000e+00        4.929242e-13
C9H7O                         0.000000e+00        2.656750e-10
C9H7OH                        0.000000e+00        4.425295e-08
C9H6O                         0.000000e+00        6.986805e-07
C9H6OH                        0.000000e+00        3.087027e-09
CATECHOL                      0.000000e+00        2.757378e-05
GUAIACOL                      0.000000e+00        1.274404e-08
SALICALD                      0.000000e+00        1.045448e-07
VANILLIN                      0.000000e+00        1.155721e-15
C8H6O3                        0.000000e+00        0.000000e+00
C6H5OCH3                      0.000000e+00        1.999412e-07
C7H6O3                        0.000000e+00        5.596512e-17
RC7H5O3                       0.000000e+00        1.769824e-15
C24H28O4                      0.000000e+00        0.000000e+00
RSALICPH                      0.000000e+00        0.000000e+00
RGUAIPH                       0.000000e+00        0.000000e+00
C6H4OCH3                      0.000000e+00        0.000000e+00
RCATEPH                       0.000000e+00        1.362245e-13
CYC5H4CO                      0.000000e+00        5.711289e-08
RMCYC6                        0.000000e+00        0.000000e+00
MCYC6                         0.000000e+00        0.000000e+00
TMBENZ                        0.000000e+00        1.207488e-10
NPBENZ                        0.000000e+00        7.725396e-11
RC9H11                        0.000000e+00        1.656909e-12
DIBZFUR                       0.000000e+00        3.835837e-07
BZFUR                         0.000000e+00        2.374837e-06
ODECAL                        0.000000e+00        0.000000e+00
DECALIN                       0.000000e+00        0.000000e+00
TETRALIN                      0.000000e+00        2.207399e-10
DCYC5                         0.000000e+00        0.000000e+00
RTETRALIN                     0.000000e+00        4.543350e-13
RTETRAOO                      0.000000e+00        6.676793e-15
RDECALIN                      0.000000e+00        0.000000e+00
RODECA                        0.000000e+00        0.000000e+00
NC10H22                       0.000000e+00        0.000000e+00
NC10H21                       0.000000e+00        1.552054e-30
C10H10                        0.000000e+00        2.849632e-07
NC12H25                       0.000000e+00        1.442651e-30
IC16H33                       0.000000e+00        0.000000e+00
NC16H33                       0.000000e+00        4.680048e-30
NC10H19                       0.000000e+00        9.297230e-31
NC12H26                       0.000000e+00        0.000000e+00
IC16H34                       0.000000e+00        0.000000e+00
NC16H34                       0.000000e+00        1.954632e-24
NC10H20                       0.000000e+00        5.279939e-25
IC12H26                       0.000000e+00        0.000000e+00
IC12H25                       0.000000e+00        0.000000e+00
C10H16                        0.000000e+00        0.000000e+00
C10H15                        0.000000e+00        5.980648e-27
C6H5C4H9                      0.000000e+00        3.683496e-14
RC6H5C4H8                     0.000000e+00        9.147632e-17
C6H5C4H7-3                    0.000000e+00        0.000000e+00
NC3H7OH                       0.000000e+00        2.166821e-11
CH3CHCH2OH                    0.000000e+00        5.663867e-13
CH3CH2CHOH                    0.000000e+00        1.569721e-14
CH2CH2CH2OH                   0.000000e+00        2.426882e-14
CH3CH2CH2O                    0.000000e+00        7.805939e-18
IC3H7OH                       0.000000e+00        6.886619e-11
CH2CHOHCH3                    0.000000e+00        1.226163e-13
CH3COHCH3                     0.000000e+00        8.664525e-15
C3H7CHO                       0.000000e+00        2.129835e-09
RALD4X                        0.000000e+00        1.800874e-16
C3H5CHO                       0.000000e+00        2.899930e-14
IC3H5CHO                      0.000000e+00        2.826775e-07
NC4H7OH                       0.000000e+00        1.615104e-09
IC4H7OH                       0.000000e+00        1.093091e-09
IC3H7CHO                      0.000000e+00        8.776021e-10
RIBALDB                       0.000000e+00        2.861303e-15
RIBALDG                       0.000000e+00        4.419787e-15
N1C4H9OH                      0.000000e+00        3.736760e-13
CH3CH2CHCH2OH                 0.000000e+00        5.964766e-14
CH2CH2CH2CH2OH                0.000000e+00        1.299396e-16
CH3CH2CH2CH2O                 0.000000e+00        3.190369e-18
