t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      C6H6_x(10)      CO_x(11)        C5H6_x(12)      C6H5OH_x(13)    C2H2_x(14)      C2H4_x(15)      C4H6_x(16)      C4H4_x(17)      C4H2_x(18)      C6H6_w(19)      CO_w(20)        C5H6_w(21)      C6H5OH_w(22)    C2H2_w(23)      C2H4_w(24)      C4H6_w(25)      C4H4_w(26)      C4H2_w(27)      
0.000000e+00        0.000000e+00        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.560000e-03    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.330603e-03    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    
1.846675e-08        1.846675e-08        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.560000e-03    1.389642e-17    2.106007e-23    1.405739e-17    1.300635e-19    7.145545e-31    4.456624e-32    1.300583e-19    2.173998e-24    4.330603e-03    1.383283e-17    4.947387e-23    4.701639e-17    1.203533e-19    7.124019e-31    8.567103e-32    2.406970e-19    3.867629e-24    
1.108582e-05        1.108582e-05        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559999e-03    4.404878e-11    8.480109e-14    6.176541e-12    5.602894e-16    3.000575e-19    1.576797e-19    7.864245e-17    6.237384e-17    4.330601e-03    4.384720e-11    1.992129e-13    2.065807e-11    5.184597e-16    2.991535e-19    3.031124e-19    1.455424e-16    1.109656e-16    
4.065819e-05        4.065819e-05        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559997e-03    6.207352e-10    2.868321e-12    8.754845e-11    9.719428e-15    5.314999e-17    2.561453e-17    4.262831e-16    1.034697e-15    4.330593e-03    6.178945e-10    6.738200e-12    2.928148e-10    8.993800e-15    5.298987e-17    4.923958e-17    7.889158e-16    1.840768e-15    
8.831472e-05        8.831472e-05        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559990e-03    2.631215e-09    1.963145e-11    4.370330e-10    6.422919e-14    8.106446e-16    5.171569e-16    4.377525e-15    4.407086e-15    4.330576e-03    2.619174e-09    4.611779e-11    1.461702e-09    5.943400e-14    8.082025e-16    9.941463e-16    8.101420e-15    7.840384e-15    
1.574103e-04        1.574103e-04        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559977e-03    7.481490e-09    7.267420e-11    1.392817e-09    2.865374e-13    5.477080e-15    4.809049e-15    4.017525e-14    1.210565e-14    4.330540e-03    7.447253e-09    1.707247e-10    4.658419e-09    2.651453e-13    5.460580e-15    9.244579e-15    7.435173e-14    2.153643e-14    
3.007960e-04        3.007960e-04        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559938e-03    2.456043e-08    2.925783e-10    4.950829e-09    1.717951e-12    4.654864e-14    6.138884e-14    5.131706e-13    3.698613e-14    4.330431e-03    2.444804e-08    6.873188e-10    1.655855e-08    1.589694e-12    4.640841e-14    1.180096e-13    9.497173e-13    6.579981e-14    
5.278357e-04        5.278357e-04        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559847e-03    7.082333e-08    9.617016e-10    1.447676e-08    9.088727e-12    3.071261e-13    5.779601e-13    4.743284e-12    9.755104e-14    4.330177e-03    7.049923e-08    2.259209e-09    4.841901e-08    8.410186e-12    3.062008e-13    1.111030e-12    8.778325e-12    1.735472e-13    
9.798859e-04        9.798860e-04        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111759e-01        2.813877e+01        1.559591e-03    2.251869e-07    3.665001e-09    4.421861e-08    6.152446e-11    2.352599e-12    6.490607e-12    5.286397e-11    2.777314e-13    4.329468e-03    2.241564e-07    8.609743e-09    1.478937e-07    5.693121e-11    2.345512e-12    1.247709e-11    9.783457e-11    4.940953e-13    
1.431936e-03        1.431936e-03        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111758e-01        2.813876e+01        1.559291e-03    4.377132e-07    8.396943e-09    8.171220e-08    1.958837e-10    7.510301e-12    2.601217e-11    2.162753e-10    5.266951e-13    4.328635e-03    4.357102e-07    1.972592e-08    2.732949e-07    1.812596e-10    7.487677e-12    5.000398e-11    4.002576e-10    9.370118e-13    
1.883986e-03        1.883987e-03        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111758e-01        2.813876e+01        1.558984e-03    6.801120e-07    1.502015e-08    1.211432e-07    4.355428e-10    1.630653e-11    6.586749e-11    5.665543e-10    8.718607e-13    4.327784e-03    6.769999e-07    3.528503e-08    4.051760e-07    4.030264e-10    1.625741e-11    1.266191e-10    1.048514e-09    1.551076e-12    
2.372537e-03        2.372537e-03        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000000e+00        3.111758e-01        2.813876e+01        1.558658e-03    9.572586e-07    2.407070e-08    1.635211e-07    8.243292e-10    3.028410e-11    1.372237e-10    1.225023e-09    1.432118e-12    4.326880e-03    9.528784e-07    5.654641e-08    5.469135e-07    7.627873e-10    3.019288e-11    2.637894e-10    2.267133e-09    2.547797e-12    
2.944764e-03        2.944765e-03        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000001e+00        3.111757e-01        2.813875e+01        1.558277e-03    1.294969e-06    3.722155e-08    2.133327e-07    1.461267e-09    5.390053e-11    2.665221e-10    2.456587e-09    2.517691e-12    4.325822e-03    1.289044e-06    8.744014e-08    7.135135e-07    1.352173e-09    5.373819e-11    5.123437e-10    4.546373e-09    4.479075e-12    
3.632703e-03        3.632705e-03        1.102000e+03        1.013250e+05        1.102000e+03        1.013250e+05        1.000001e+00        3.111756e-01        2.813874e+01        1.557800e-03    1.724775e-06    5.724797e-08    2.759394e-07    2.509151e-09    9.666992e-11    5.055416e-10    4.739982e-09    4.886487e-12    4.324501e-03    1.716884e-06    1.344858e-07    9.229083e-07    2.321826e-09    9.637878e-11    9.718186e-10    8.772221e-09    8.693264e-12    
