
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.2
Length[m]                     0                   1.4063e-05
T[K]                          1150.937            1333.237
P[atm]                        1.00000             1.00000
V[m3]                         0.00007             0.00008
rho[kg/m3]                    0.25739             0.25739
MW[kg/kmol]                   28.19154            28.15876
Phi[-]                        0.61201             0.61201
H[J/kg]                       9.583526e+05        9.583526e+05
U[J/kg]                       6.189095e+05        5.646864e+05
E[J/kg]                       9.583526e+05        9.583526e+05
Conv.(%) N2                   0.000e+00           0.000e+00
Conv.(%) O2                   0.000e+00           6.112e+01
Conv.(%) C5H6                 0.000e+00           1.000e+02
Conv.(%) CYC5H8               0.000e+00           1.000e+02
Total species (kmol/m2/s)     7.226222e-07        7.234635e-07
Element(kmol/m2/s) C          7.974353e-09        7.974353e-09
Element(kmol/m2/s) H          9.593879e-09        9.593879e-09
Element(kmol/m2/s) O          3.389743e-08        3.389743e-08
Element(kmol/m2/s) N          1.408157e-06        1.408157e-06
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
AR                            0.000000e+00        9.240217e-21
N2                            9.682024e-01        9.682024e-01
HE                            0.000000e+00        7.736589e-22
H2                            0.000000e+00        3.368086e-07
H                             0.000000e+00        5.484592e-08
O2                            2.662132e-02        1.035071e-02
O                             0.000000e+00        6.733678e-06
H2O                           0.000000e+00        4.225008e-03
OH                            0.000000e+00        2.487493e-05
H2O2                          0.000000e+00        1.740846e-08
HO2                           0.000000e+00        3.452321e-07
CO                            0.000000e+00        6.483399e-05
CO2                           0.000000e+00        1.712445e-02
HOCO                          0.000000e+00        5.738780e-12
CH4                           0.000000e+00        3.781879e-12
CH3                           0.000000e+00        1.308714e-11
CH2                           0.000000e+00        2.209242e-13
CH2(S)                        0.000000e+00        3.704073e-15
C                             0.000000e+00        1.119648e-18
CH                            0.000000e+00        2.285498e-16
CH3O2H                        0.000000e+00        1.256525e-19
CH3O2                         0.000000e+00        5.803067e-15
CH3OH                         0.000000e+00        1.214016e-11
CH3O                          0.000000e+00        1.222894e-15
CH2OH                         0.000000e+00        3.805057e-14
CH2O                          0.000000e+00        7.601835e-11
HCO                           0.000000e+00        7.766358e-13
HO2CHO                        0.000000e+00        5.798098e-18
HOCHO                         0.000000e+00        1.078515e-12
OCHO                          0.000000e+00        1.880133e-14
C2H6                          0.000000e+00        1.793168e-14
C2H5                          0.000000e+00        5.919849e-15
C2H5O2H                       0.000000e+00        3.486103e-23
C2H5O2                        0.000000e+00        5.119356e-18
C2H4                          0.000000e+00        4.316604e-11
C2H3                          0.000000e+00        5.312729e-13
C2H2                          0.000000e+00        7.210601e-10
C2H                           0.000000e+00        1.864445e-15
C2H5OH                        0.000000e+00        1.336544e-14
C2H5O                         0.000000e+00        1.056748e-21
PC2H4OH                       0.000000e+00        3.099276e-16
SC2H4OH                       0.000000e+00        5.562457e-19
C2H4O2H                       0.000000e+00        4.073069e-22
C2H4O1-2                      0.000000e+00        1.263447e-15
C2H3O1-2                      0.000000e+00        3.097318e-21
CH3CHO                        0.000000e+00        5.471208e-12
CH3CO                         0.000000e+00        1.204080e-15
CH2CHO                        0.000000e+00        1.625338e-13
CH2CO                         0.000000e+00        3.735358e-11
HCCO                          0.000000e+00        1.024555e-11
CH3CO3                        0.000000e+00        9.194354e-18
CH3CO3H                       0.000000e+00        6.966687e-26
CH2OHCHO                      0.000000e+00        2.655197e-20
CHOCHO                        0.000000e+00        1.071198e-13
O2C2H4O2H                     0.000000e+00        2.249355e-24
HO2CH2CHO                     0.000000e+00        9.811438e-25
CH3OCHO                       0.000000e+00        1.362360e-21
CH3OCO                        0.000000e+00        5.484181e-22
C3H8                          0.000000e+00        0.000000e+00
IC3H7                         0.000000e+00        0.000000e+00
NC3H7                         0.000000e+00        0.000000e+00
C3H6                          0.000000e+00        7.285062e-15
C3H5-A                        0.000000e+00        8.380959e-12
C3H5-S                        0.000000e+00        1.631131e-18
C3H5-T                        0.000000e+00        0.000000e+00
C3H5O                         0.000000e+00        1.454729e-19
C3H6O                         0.000000e+00        7.777435e-15
CH3CHCHO                      0.000000e+00        5.411604e-21
AC4H7OOH                      0.000000e+00        0.000000e+00
CH3CHCO                       0.000000e+00        2.249952e-16
AC3H5OOH                      0.000000e+00        2.999966e-20
C3H6OH1-2                     0.000000e+00        6.997428e-21
C3H6OH2-1                     0.000000e+00        1.793406e-21
HOC3H6O2                      0.000000e+00        1.510902e-25
SC3H5OH                       0.000000e+00        3.849325e-13
C3H5OH                        0.000000e+00        8.849772e-12
CH2CCH2OH                     0.000000e+00        5.241970e-18
C3H4-P                        0.000000e+00        3.940742e-12
C3H4-A                        0.000000e+00        1.037475e-11
C3H3                          0.000000e+00        4.475596e-12
C3H2                          0.000000e+00        5.521696e-14
C2H5CHO                       0.000000e+00        2.836059e-12
CH2CH2CHO                     0.000000e+00        4.863840e-21
RALD3                         0.000000e+00        2.128775e-16
C2H3CHO                       0.000000e+00        1.797012e-11
CH3COCH3                      0.000000e+00        3.052909e-13
CH3COCH2                      0.000000e+00        2.718741e-18
NC4H10                        0.000000e+00        0.000000e+00
PC4H9                         0.000000e+00        0.000000e+00
SC4H9                         0.000000e+00        5.248342e-23
IC4H10                        0.000000e+00        0.000000e+00
IC4H9                         0.000000e+00        0.000000e+00
TC4H9                         0.000000e+00        0.000000e+00
IC4H8                         0.000000e+00        0.000000e+00
IC4H7                         0.000000e+00        1.905728e-20
IC4H7O                        0.000000e+00        2.211915e-27
C4H8-1                        0.000000e+00        0.000000e+00
C4H8-2                        0.000000e+00        6.136744e-18
C4H71-3                       0.000000e+00        4.443775e-17
C4H71-4                       0.000000e+00        1.955866e-19
C4H71-O                       0.000000e+00        2.208014e-27
C4H6                          0.000000e+00        8.228964e-14
C4H5                          0.000000e+00        5.162442e-13
C4H4                          0.000000e+00        1.090731e-11
C4H3                          0.000000e+00        2.500605e-14
C4H2                          0.000000e+00        1.726752e-11
C6H6                          0.000000e+00        4.325317e-13
FULVENE                       0.000000e+00        5.243162e-14
C6H5                          0.000000e+00        3.055025e-14
C5H6                          5.135071e-03        5.162900e-14
C5H5                          0.000000e+00        3.454790e-13
C5H5CH3                       0.000000e+00        2.155355e-16
C10H8                         0.000000e+00        1.704546e-12
C5H5OH                        0.000000e+00        8.143140e-14
C5H5O                         0.000000e+00        4.734431e-15
C5H4OH                        0.000000e+00        1.413573e-13
C5H4O                         0.000000e+00        4.197997e-10
DMF                           0.000000e+00        1.616033e-28
NC5H12                        0.000000e+00        1.553968e-29
NC5H11                        0.000000e+00        0.000000e+00
NEOC5H12                      0.000000e+00        0.000000e+00
NEOC5H11                      0.000000e+00        9.248200e-34
NC5H10                        0.000000e+00        0.000000e+00
NC5H9-3                       0.000000e+00        0.000000e+00
B1M2                          0.000000e+00        0.000000e+00
B1M3                          0.000000e+00        4.566467e-23
B2M2                          0.000000e+00        6.212338e-27
CYC5H8                        4.122218e-05        8.745196e-19
LC5H8                         0.000000e+00        2.607612e-18
CYC5H7                        0.000000e+00        0.000000e+00
LC5H7                         0.000000e+00        5.828186e-18
DIALLYL                       0.000000e+00        0.000000e+00
RC6H9A                        0.000000e+00        3.743397e-41
CYC6H8                        0.000000e+00        4.303625e-18
CYC6H10                       0.000000e+00        1.316265e-16
RCYC6H9                       0.000000e+00        3.350941e-41
CYC6H12                       0.000000e+00        3.675751e-25
CYC6H11                       0.000000e+00        2.884624e-22
NC6H12                        0.000000e+00        0.000000e+00
NC7H16                        0.000000e+00        0.000000e+00
NC7H15                        0.000000e+00        0.000000e+00
NC7H14                        0.000000e+00        0.000000e+00
NC7H13                        0.000000e+00        0.000000e+00
IC8H18                        0.000000e+00        0.000000e+00
IC8H17                        0.000000e+00        0.000000e+00
IC8H16                        0.000000e+00        0.000000e+00
DIMEPTD                       0.000000e+00        1.002109e-33
C7H8                          0.000000e+00        4.890641e-13
C6H5OH                        0.000000e+00        4.423257e-13
C6H5CHO                       0.000000e+00        3.839162e-13
C6H5CO                        0.000000e+00        1.104321e-20
C7H7                          0.000000e+00        8.032892e-13
CH3C6H4                       0.000000e+00        7.802979e-16
C6H5O                         0.000000e+00        4.310611e-14
CYC6H4                        0.000000e+00        2.735209e-12
OC6H4OH                       0.000000e+00        6.803504e-13
C6H4O2                        0.000000e+00        1.259449e-08
C7H7O2                        0.000000e+00        6.060027e-18
O2C6H4CH3                     0.000000e+00        1.552627e-19
OC6H4CH2                      0.000000e+00        1.562576e-14
C6H5CH2O                      0.000000e+00        1.162916e-20
BZCOOH                        0.000000e+00        1.477816e-20
C6H5O2                        0.000000e+00        6.354222e-18
RBBENZ                        0.000000e+00        1.781793e-25
STILB                         0.000000e+00        1.710125e-21
HOC6H4CH2                     0.000000e+00        6.259392e-16
OC6H4CH3                      0.000000e+00        2.313907e-15
CRESOL                        0.000000e+00        1.857693e-14
OOC6H4OH                      0.000000e+00        1.942972e-18
C6H4OH                        0.000000e+00        1.179834e-14
CYC5H10                       0.000000e+00        6.944815e-26
RCYC5H9                       0.000000e+00        2.601242e-25
RCYC5H9O2                     0.000000e+00        1.845950e-29
C5H2                          0.000000e+00        7.126843e-11
C5H3                          0.000000e+00        6.394178e-12
CYC5H4                        0.000000e+00        5.164596e-14
C6H2                          0.000000e+00        7.973270e-14
C6H3                          0.000000e+00        2.573634e-15
LC6H4                         0.000000e+00        3.276385e-13
LC6H5                         0.000000e+00        4.515765e-20
LC6H6                         0.000000e+00        1.151714e-17
C7H6                          0.000000e+00        2.846056e-14
C7H5                          0.000000e+00        1.064678e-14
C6H5CH2OH                     0.000000e+00        7.963586e-12
C6H5C2H                       0.000000e+00        4.171346e-12
C6H5C2H3                      0.000000e+00        5.756769e-13
C6H5C2H5                      0.000000e+00        1.993851e-18
C6H5C2H2                      0.000000e+00        5.466059e-16
C6H5CHCH3                     0.000000e+00        1.126141e-16
C6H5C2H4                      0.000000e+00        9.058787e-19
C6H4C2H3                      0.000000e+00        2.677233e-16
C6H4C2H                       0.000000e+00        9.501465e-14
C8H2                          0.000000e+00        8.589912e-15
XYLENE                        0.000000e+00        1.090320e-14
RXYLENE                       0.000000e+00        2.983335e-16
INDENE                        0.000000e+00        4.910988e-14
INDENYL                       0.000000e+00        1.422096e-12
C10H7                         0.000000e+00        3.180770e-14
C10H7OH                       0.000000e+00        3.814833e-12
C10H7O                        0.000000e+00        2.148994e-13
C10H6CH3                      0.000000e+00        1.439978e-14
C10H7CH2                      0.000000e+00        1.226645e-11
C10H7CHO                      0.000000e+00        3.279265e-11
C10H7CH3                      0.000000e+00        1.919540e-11
CH3C10H6OH                    0.000000e+00        5.370527e-13
CH3C10H6O                     0.000000e+00        1.603899e-13
C12H8                         0.000000e+00        1.276623e-16
C12H7                         0.000000e+00        4.251986e-18
BIPHENYL                      0.000000e+00        1.012572e-12
C12H9                         0.000000e+00        1.964384e-18
FLUORENE                      0.000000e+00        3.095836e-13
C6H5CH2C6H5                   0.000000e+00        5.943411e-23
C14H10                        0.000000e+00        1.406981e-16
C14H9                         0.000000e+00        6.363095e-18
C16H10                        0.000000e+00        1.266705e-18
C16H9                         0.000000e+00        7.956553e-19
C6H5C2H4C6H5                  0.000000e+00        8.064233e-23
C18H10                        0.000000e+00        1.130799e-20
C18H9                         0.000000e+00        8.199219e-19
BIN1B                         0.000000e+00        7.578194e-18
BIN1A                         0.000000e+00        5.298869e-20
C18H14                        0.000000e+00        1.121641e-24
FC10H10                       0.000000e+00        1.785950e-25
FC10H10O                      0.000000e+00        2.654807e-25
C9H9                          0.000000e+00        8.011174e-17
C10H7CH2OOH                   0.000000e+00        2.011833e-19
C10H7CH2O                     0.000000e+00        4.496268e-19
C10H7CH2O2                    0.000000e+00        8.330617e-17
C10H6OH                       0.000000e+00        2.417063e-13
C10H7C2H5                     0.000000e+00        1.205203e-12
C10H7C2H4                     0.000000e+00        6.535441e-17
C10H7CHCH3                    0.000000e+00        1.981939e-08
C10H6O2                       0.000000e+00        3.889988e-13
OC10H6CH2                     0.000000e+00        2.514804e-13
HOC10H6CH2                    0.000000e+00        5.745880e-14
O2C10H6CH3                    0.000000e+00        2.473649e-18
C10H7O2                       0.000000e+00        6.328851e-18
C9H7O                         0.000000e+00        3.015182e-13
C9H7OH                        0.000000e+00        9.687278e-17
C9H6O                         0.000000e+00        1.414403e-12
C9H6OH                        0.000000e+00        6.119413e-15
CATECHOL                      0.000000e+00        3.688371e-13
GUAIACOL                      0.000000e+00        0.000000e+00
SALICALD                      0.000000e+00        7.753769e-13
VANILLIN                      0.000000e+00        2.821236e-28
C8H6O3                        0.000000e+00        0.000000e+00
C6H5OCH3                      0.000000e+00        6.062300e-21
C7H6O3                        0.000000e+00        3.453240e-14
RC7H5O3                       0.000000e+00        7.873998e-28
C24H28O4                      0.000000e+00        0.000000e+00
RSALICPH                      0.000000e+00        0.000000e+00
RGUAIPH                       0.000000e+00        0.000000e+00
C6H4OCH3                      0.000000e+00        0.000000e+00
RCATEPH                       0.000000e+00        3.464493e-18
CYC5H4CO                      0.000000e+00        2.672485e-14
RMCYC6                        0.000000e+00        0.000000e+00
MCYC6                         0.000000e+00        0.000000e+00
TMBENZ                        0.000000e+00        4.485479e-24
NPBENZ                        0.000000e+00        3.446510e-23
RC9H11                        0.000000e+00        3.157714e-25
DIBZFUR                       0.000000e+00        8.628563e-17
BZFUR                         0.000000e+00        5.323971e-13
ODECAL                        0.000000e+00        0.000000e+00
DECALIN                       0.000000e+00        0.000000e+00
TETRALIN                      0.000000e+00        3.464617e-24
DCYC5                         0.000000e+00        0.000000e+00
RTETRALIN                     0.000000e+00        9.707901e-20
RTETRAOO                      0.000000e+00        1.363526e-22
RDECALIN                      0.000000e+00        0.000000e+00
RODECA                        0.000000e+00        0.000000e+00
NC10H22                       0.000000e+00        0.000000e+00
NC10H21                       0.000000e+00        2.283800e-50
C10H10                        0.000000e+00        1.582011e-15
NC12H25                       0.000000e+00        2.451793e-50
IC16H33                       0.000000e+00        0.000000e+00
NC16H33                       0.000000e+00        9.416879e-50
NC10H19                       0.000000e+00        1.948427e-50
NC12H26                       0.000000e+00        0.000000e+00
IC16H34                       0.000000e+00        0.000000e+00
NC16H34                       0.000000e+00        8.253032e-44
NC10H20                       0.000000e+00        1.867631e-44
IC12H26                       0.000000e+00        0.000000e+00
IC12H25                       0.000000e+00        0.000000e+00
C10H16                        0.000000e+00        0.000000e+00
C10H15                        0.000000e+00        8.175260e-41
C6H5C4H9                      0.000000e+00        2.066630e-28
RC6H5C4H8                     0.000000e+00        6.971988e-30
C6H5C4H7-3                    0.000000e+00        0.000000e+00
NC3H7OH                       0.000000e+00        4.074924e-20
CH3CHCH2OH                    0.000000e+00        6.218172e-18
CH3CH2CHOH                    0.000000e+00        1.215355e-18
CH2CH2CH2OH                   0.000000e+00        3.909782e-18
CH3CH2CH2O                    0.000000e+00        1.765424e-21
IC3H7OH                       0.000000e+00        0.000000e+00
CH2CHOHCH3                    0.000000e+00        5.569992e-22
CH3COHCH3                     0.000000e+00        9.915290e-21
C3H7CHO                       0.000000e+00        4.283689e-20
RALD4X                        0.000000e+00        1.067889e-25
C3H5CHO                       0.000000e+00        6.141663e-25
IC3H5CHO                      0.000000e+00        5.239716e-13
NC4H7OH                       0.000000e+00        2.554828e-19
IC4H7OH                       0.000000e+00        1.046343e-20
IC3H7CHO                      0.000000e+00        8.744996e-22
RIBALDB                       0.000000e+00        5.866215e-20
RIBALDG                       0.000000e+00        2.143168e-23
N1C4H9OH                      0.000000e+00        3.282094e-26
CH3CH2CHCH2OH                 0.000000e+00        0.000000e+00
CH2CH2CH2CH2OH                0.000000e+00        0.000000e+00
