-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
AR                           39.9480        4.9675       -0.0007      -11.0276       37.0027        4.9675        3.4864      -39.5303       43.0167
N2                           28.0140        6.9601       -0.0010      -13.6455       45.7869        7.8072        5.1295      -49.3995       54.5290
HE                            4.0030        4.9675       -0.0007       -8.9842       30.1457        4.9675        3.4864      -32.6732       36.1596
H2                            2.0160        6.8910       -0.0010       -9.3065       31.2266        7.1996        4.9435      -34.7834       39.7269
H                             1.0080        4.9675       52.0966       43.9276       27.4127        4.9675       55.5838       22.1571       33.4267
O2                           31.9980        7.0204       -0.0011      -14.6100       49.0232        8.3367        5.4260      -52.7859       58.2119
O                            15.9990        5.2365       59.5602       48.0909       38.4876        5.0027       63.1119       18.4733       44.6387
H2O                          18.0150        8.0267      -57.7947      -71.2414       45.1232        9.8652      -51.5799     -107.1994       55.6196
OH                           17.0070        7.1421        8.9583       -4.1261       43.9075        7.3371       13.9585      -38.5527       52.5111
H2O2                         34.0140       10.1369      -32.3732      -49.0741       56.0436       15.0622      -23.2871      -94.3972       71.1101
HO2                          33.0060        8.3531        2.9279      -13.3905       54.7597       11.5233       10.0382      -56.5912       66.6295
CO                           28.0100        6.9641      -26.4139      -40.4895       47.2335        7.9221      -21.2295      -77.2819       56.0524
CO2                          44.0090        8.8729      -94.0343     -109.2578       51.0856       12.9840      -86.0501     -150.4070       64.3569
HOCO                         45.0170       10.4198      -43.3334      -61.2595       60.1547       16.3884      -33.4797     -109.8985       76.4187
CH4                          16.0430        8.5282      -17.8292      -31.1005       44.5346       17.6207       -8.5856      -67.9261       59.3405
CH3                          15.0350        9.1798       35.0571       21.2420       46.3595       14.0874       43.3191      -16.6935       60.0126
CH2                          14.0270        8.3671       93.4881       79.6436       46.4580       10.5877      100.1640       42.4538       57.7102
CH2(S)                       14.0270        8.0728      102.4738       88.9995       45.2158       10.5738      108.9709       52.8578       56.1131
C                            12.0110        4.9800      171.2689      160.0103       37.7806        4.9691      174.7586      130.9586       43.8000
CH                           13.0190        6.9723      142.4794      129.4452       43.7388        7.7111      147.5523       95.1496       52.4027
CH3O2H                       48.0410       15.9482      -30.2890      -49.9354       65.9276       27.5029      -14.1213     -106.5493       92.4280
CH3O2                        47.0330       11.9505        2.9129      -16.3039       64.4861       22.9127       15.7118      -69.4871       85.1989
